N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1.0,삼성전자,69900.0,1100.0,-1.55%,100.0,70400.0,70400.0,69400.0
2.0,LG에너지솔루션,568000.0,12000.0,+2.16%,500.0,549000.0,574000.0,543000.0
3.0,SK하이닉스,114900.0,2000.0,-1.71%,5000.0,114700.0,114900.0,113200.0
4.0,삼성바이오로직스,749000.0,12000.0,+1.63%,2500.0,731000.0,760000.0,731000.0
5.0,LG화학,689000.0,4000.0,+0.58%,5000.0,681000.0,694000.0,672000.0
6.0,삼성전자우,58800.0,900.0,-1.51%,100.0,59400.0,59400.0,58300.0
7.0,삼성SDI,684000.0,1000.0,-0.15%,5000.0,678000.0,687000.0,676000.0
8.0,POSCO홀딩스,549000.0,51500.0,+10.35%,5000.0,486000.0,555000.0,483500.0
9.0,현대차,200500.0,0.0,0.00%,5000.0,199700.0,201000.0,198200.0
10.0,포스코퓨처엠,491500.0,27000.0,+5.81%,500.0,448000.0,495000.0,447500.0
11.0,기아,84400.0,100.0,+0.12%,5000.0,85100.0,85100.0,83900.0
12.0,NAVER,205500.0,1000.0,+0.49%,100.0,202500.0,206000.0,200500.0
13.0,현대모비스,242500.0,0.0,0.00%,5000.0,240500.0,243000.0,237500.0
14.0,카카오,50600.0,100.0,+0.20%,100.0,50000.0,50800.0,49750.0
15.0,셀트리온,151200.0,1100.0,+0.73%,1000.0,149900.0,153100.0,149900.0
16.0,LG전자,120600.0,800.0,-0.66%,5000.0,120500.0,121000.0,119300.0
17.0,KB금융,48700.0,500.0,+1.04%,5000.0,48650.0,49050.0,48150.0
18.0,삼성물산,103400.0,600.0,+0.58%,100.0,102600.0,104000.0,102400.0
19.0,신한지주,33850.0,50.0,+0.15%,5000.0,34300.0,34450.0,33700.0
20.0,SK이노베이션,176600.0,2900.0,+1.67%,5000.0,173400.0,178300.0,170300.0
21.0,삼성생명,69100.0,200.0,+0.29%,500.0,69000.0,69800.0,68500.0
22.0,LG,87300.0,200.0,-0.23%,5000.0,87000.0,87800.0,85200.0
23.0,한국전력,20050.0,250.0,-1.23%,5000.0,20300.0,20450.0,20000.0
24.0,HD현대중공업,142800.0,200.0,-0.14%,5000.0,142400.0,143800.0,140300.0
25.0,카카오뱅크,25650.0,200.0,+0.79%,5000.0,25200.0,25650.0,25150.0
26.0,하나금융지주,39100.0,150.0,+0.39%,5000.0,38900.0,39400.0,38500.0
27.0,삼성화재,239500.0,5000.0,+2.13%,500.0,238000.0,241000.0,235500.0
28.0,KT&G,82300.0,300.0,+0.37%,5000.0,82200.0,82500.0,81900.0
29.0,두산에너빌리티,17390.0,180.0,-1.02%,5000.0,17500.0,17570.0,17260.0
30.0,삼성전기,149100.0,3800.0,-2.49%,5000.0,151600.0,151800.0,148600.0
31.0,SK,147700.0,100.0,-0.07%,200.0,147100.0,148300.0,144100.0
32.0,하이브,256500.0,12500.0,-4.65%,500.0,267500.0,268000.0,255000.0
33.0,메리츠금융지주,48050.0,900.0,+1.91%,500.0,47250.0,48300.0,47000.0
34.0,SK텔레콤,45450.0,300.0,+0.66%,100.0,45150.0,45800.0,45100.0
35.0,삼성에스디에스,127800.0,1700.0,-1.31%,500.0,128800.0,129500.0,127000.0
